Flow Duration,Total Fwd Packet,Total Bwd packets,Flow Bytes/s,Flow Packets/s,Fwd Packet Length Mean,Bwd Packet Length Mean,Fwd IAT Mean,Bwd IAT Mean,Average Packet Size,Packet Length Std,Subflow Bwd Bytes,FWD Init Win Bytes,src_ip
27.67213201522827,13,13,108.19549423775406,0.9395734302543772,109.92307692307692,120.38461538461539,0.981369415918986,1.3075735767682393,115.15384615384616,33.08228936791535,1565,0.0,192.168.10.3
4.406888961791992,37,38,3584.3880199733476,17.018808653963095,298.13513513513516,125.39473684210526,0.014438748359680176,0.10503575608537004,210.61333333333334,333.23296728998605,4765,0.0,192.168.10.6
4.291702032089233,57,58,24086.015111743134,26.795895693629298,970.1228070175439,828.8448275862069,0.008157623665673392,0.06686391328510485,898.8695652173913,514.0381058745697,48073,0.0,216.58.208.228
9.27568006515503,3,3,50.77794799859,0.6468528407463695,79.66666666666667,77.33333333333333,0.2130270004272461,0.22203147411346436,78.5,4.112987559751022,232,0.0,192.168.10.6
9.539789915084839,3,3,101.78421208884292,0.6289446679022219,112.33333333333333,211.33333333333334,0.18634092807769775,0.3696819543838501,161.83333333333334,76.23082636892302,634,0.0,192.168.10.1
0.4521009922027588,6,7,11692.077856863734,28.754637181087507,698.5,156.42857142857142,0.03546862602233887,0.04573980967203776,406.61538461538464,506.0675750653705,1095,0.0,192.168.10.6
3.5065460205078125,11,11,2806.750558081852,6.273980113574552,792.8181818181819,101.9090909090909,0.018169713020324708,0.3299165010452271,447.3636363636364,527.7913280363871,1121,0.0,192.168.10.6
0.3596200942993164,7,7,18002.331078339597,38.929971439103234,591.8571428571429,333.0,0.019022186597188313,0.03437769412994385,462.42857142857144,502.400909104858,2331,0.0,172.217.17.67
3.5626211166381836,8,9,2773.8004341379437,4.771767595663332,846.0,346.0,0.026424169540405273,0.42217063903808594,581.2941176470588,550.7800633653073,3114,0.0,192.168.10.6
3.5196280479431152,11,11,3908.935777472347,6.250660496030791,632.0909090909091,618.6363636363636,0.018201398849487304,0.32693030834198,625.3636363636364,553.8190995634967,6805,0.0,172.217.17.78
3.5849950313568115,11,11,2587.730225246348,6.136689118833638,634.8181818181819,208.54545454545453,0.017135190963745116,0.3411725997924805,421.6818181818182,485.43348822223146,2294,0.0,172.217.19.234
3.3885819911956787,8,8,2334.0146469967126,4.721739075982729,759.125,229.5,0.027184145791190013,0.4568291391645159,494.3125,551.149108539377,1836,0.0,192.168.10.6
3.402184009552002,9,9,2420.7979277065947,5.290719123205283,611.2222222222222,303.8888888888889,0.018939226865768433,0.4027506411075592,457.55555555555554,515.6771408354717,2735,0.0,172.217.17.65
15.012248039245605,30,30,1392.7294530000763,3.996736520949138,411.1666666666667,285.76666666666665,0.1777646541595459,0.3366283794929241,348.46666666666664,430.2973958657999,8573,253.0,192.168.10.6
3.17722487449646,8,9,3214.7551411886634,5.350581300196522,846.5,382.44444444444446,0.026161840983799527,0.37425100803375244,600.8235294117648,542.4011143592272,3442,0.0,192.168.10.6
14.816958904266357,44,44,3027.071903876674,5.939140451733419,252.0909090909091,767.2727272727273,0.12074683433355288,0.2237654397653979,509.6818181818182,573.4756780420465,33760,1452.0,110.38.232.36
3.1874430179595947,9,10,2413.219611036042,5.960890874894019,599.4444444444445,229.7,0.021523267030715942,0.3347487714555528,404.8421052631579,457.96543918761455,2297,0.0,172.217.19.206
0.06457710266113281,1,1,2276.3486428212777,30.9707298343031,93.0,54.0,0.0,0.0,73.5,19.5,54,300.0,57.144.149.32
0.06424403190612793,1,1,1681.090006271826,31.131296412441223,54.0,54.0,0.0,0.0,54.0,0.0,54,2047.0,192.168.10.6
25.694106101989746,6,7,100.91808563829348,0.5059526082907115,176.33333333333334,219.28571428571428,1.3307991981506349,2.8500216801961265,199.46153846153845,84.01246737571877,1535,0.0,192.168.10.4
21.232846975326538,116,116,5454.991510775429,10.926466915604571,374.55172413793105,623.9396551724138,0.040628060050632644,0.14400526129681132,499.24568965517244,551.8776140082962,72377,0.0,192.168.10.6
0.5061671733856201,7,7,13805.7155173835,27.658846199680738,782.8571428571429,215.42857142857142,0.03217383225758871,0.052128871281941734,499.14285714285717,557.964010250387,1508,0.0,192.168.10.6
21.2619469165802,178,178,14980.519011249153,16.74352783386873,1020.0955056179776,769.314606741573,0.021591807489341263,0.09609866007573187,894.7050561797753,552.6697208202324,136938,0.0,142.250.181.46
0.4919438362121582,8,8,17117.807725450017,32.52403795359224,680.125,372.5,0.01669011797223772,0.05352170126778739,526.3125,549.8617688508176,2980,0.0,142.250.181.145
11.205164194107056,68,68,1483.958620503293,12.13726078833581,154.51470588235293,90.01470588235294,0.05678104642611831,0.1104094804222904,122.26470588235294,192.92608441691578,6121,0.0,192.168.10.6
0.24019908905029297,4,5,23447.21631654802,37.468918119483696,999.5,326.8,0.00013597806294759115,0.028302490711212158,625.7777777777778,596.1347308150656,1634,0.0,192.168.10.6
11.137729167938232,189,190,41429.89949228751,34.02848051746609,1208.047619047619,1226.9157894736843,0.035516707187003276,0.02359640282928628,1217.5065963060686,278.64093809763375,233114,0.0,142.250.181.22
0.1695699691772461,5,6,41581.65525541739,64.86997699753103,808.0,501.8333333333333,0.027054011821746826,0.012174177169799804,641.0,541.3357217442459,3011,0.0,142.250.181.131
0.45214009284973145,6,7,11719.818887552448,28.752150507299834,698.3333333333334,158.42857142857142,0.036453628540039064,0.0449134906133016,407.61538461538464,506.6062859796381,1109,0.0,192.168.10.6
